file_path,load_hp,label,fault_diameter_mils,or_position,source_category,sensor_location,declared_sample_rate_khz,n_samples_DE,n_samples_FE,n_samples_BA,rpm_from_file,read_error,warnings,has_warning
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\B\028\3007_2.mat,2,B,28.0,,12k_Drive_End_Bearing_Fault_Data,DE,12.0,120984,,,,,"VONG_BI_NTN: đường kính 28 mils dùng vòng bi NTN, KHÔNG dùng hình học SKF 6205 để tính BPFO/BPFI/BSF.",True
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\B\028\3008_3.mat,3,B,28.0,,12k_Drive_End_Bearing_Fault_Data,DE,12.0,120984,,,,,"VONG_BI_NTN: đường kính 28 mils dùng vòng bi NTN, KHÔNG dùng hình học SKF 6205 để tính BPFO/BPFI/BSF.",True
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\IR\007\105_0.mat,0,IR,7.0,,12k_Drive_End_Bearing_Fault_Data,DE,12.0,121265,121265.0,121265.0,1797.0,,,False
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\IR\007\106_1.mat,1,IR,7.0,,12k_Drive_End_Bearing_Fault_Data,DE,12.0,121991,121991.0,121991.0,1772.0,,,False
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\IR\007\107_2.mat,2,IR,7.0,,12k_Drive_End_Bearing_Fault_Data,DE,12.0,122136,122136.0,122136.0,1748.0,,,False
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\IR\007\108_3.mat,3,IR,7.0,,12k_Drive_End_Bearing_Fault_Data,DE,12.0,122917,122917.0,122917.0,1721.0,,,False
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\IR\014\169_0.mat,0,IR,14.0,,12k_Drive_End_Bearing_Fault_Data,DE,12.0,121846,121846.0,121846.0,1796.0,,,False
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\IR\014\170_1.mat,1,IR,14.0,,12k_Drive_End_Bearing_Fault_Data,DE,12.0,121846,121846.0,121846.0,1774.0,,,False
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\IR\014\171_2.mat,2,IR,14.0,,12k_Drive_End_Bearing_Fault_Data,DE,12.0,121846,121846.0,121846.0,1752.0,,,False
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\IR\014\172_3.mat,3,IR,14.0,,12k_Drive_End_Bearing_Fault_Data,DE,12.0,121701,121701.0,121701.0,1728.0,,,False
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\IR\021\209_0.mat,0,IR,21.0,,12k_Drive_End_Bearing_Fault_Data,DE,12.0,122136,122136.0,122136.0,1797.0,,,False
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\IR\021\210_1.mat,1,IR,21.0,,12k_Drive_End_Bearing_Fault_Data,DE,12.0,121556,121556.0,121556.0,1774.0,,,False
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\IR\021\211_2.mat,2,IR,21.0,,12k_Drive_End_Bearing_Fault_Data,DE,12.0,121846,121846.0,121846.0,1752.0,,,False
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\IR\021\212_3.mat,3,IR,21.0,,12k_Drive_End_Bearing_Fault_Data,DE,12.0,121991,121991.0,121991.0,1728.0,,,False
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\IR\028\3001_0.mat,0,IR,28.0,,12k_Drive_End_Bearing_Fault_Data,DE,12.0,120801,,,,,"VONG_BI_NTN: đường kính 28 mils dùng vòng bi NTN, KHÔNG dùng hình học SKF 6205 để tính BPFO/BPFI/BSF.",True
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\IR\028\3002_1.mat,1,IR,28.0,,12k_Drive_End_Bearing_Fault_Data,DE,12.0,121351,,,,,"VONG_BI_NTN: đường kính 28 mils dùng vòng bi NTN, KHÔNG dùng hình học SKF 6205 để tính BPFO/BPFI/BSF.",True
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\IR\028\3003_2.mat,2,IR,28.0,,12k_Drive_End_Bearing_Fault_Data,DE,12.0,121351,,,,,"VONG_BI_NTN: đường kính 28 mils dùng vòng bi NTN, KHÔNG dùng hình học SKF 6205 để tính BPFO/BPFI/BSF.",True
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\IR\028\3004_3.mat,3,IR,28.0,,12k_Drive_End_Bearing_Fault_Data,DE,12.0,121535,,,,,"VONG_BI_NTN: đường kính 28 mils dùng vòng bi NTN, KHÔNG dùng hình học SKF 6205 để tính BPFO/BPFI/BSF.",True
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\OR\007\@12\156_0.mat,0,OR,7.0,Opposite,12k_Drive_End_Bearing_Fault_Data,DE,12.0,122281,122281.0,122281.0,1797.0,,OR_NGOAI_PHAM_VI: vị trí 'Opposite' khác phạm vi đã chốt ('Centered').,True
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\OR\007\@12\158_1.mat,1,OR,7.0,Opposite,12k_Drive_End_Bearing_Fault_Data,DE,12.0,121991,121991.0,121991.0,1773.0,,OR_NGOAI_PHAM_VI: vị trí 'Opposite' khác phạm vi đã chốt ('Centered').,True
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\OR\007\@12\159_2.mat,2,OR,7.0,Opposite,12k_Drive_End_Bearing_Fault_Data,DE,12.0,122281,122281.0,122281.0,1750.0,,OR_NGOAI_PHAM_VI: vị trí 'Opposite' khác phạm vi đã chốt ('Centered').,True
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\OR\007\@12\160_3.mat,3,OR,7.0,Opposite,12k_Drive_End_Bearing_Fault_Data,DE,12.0,122136,122136.0,122136.0,1724.0,,OR_NGOAI_PHAM_VI: vị trí 'Opposite' khác phạm vi đã chốt ('Centered').,True
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\OR\007\@3\144_0.mat,0,OR,7.0,Orthogonal,12k_Drive_End_Bearing_Fault_Data,DE,12.0,122281,122281.0,122281.0,1797.0,,OR_NGOAI_PHAM_VI: vị trí 'Orthogonal' khác phạm vi đã chốt ('Centered').,True
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\OR\007\@3\145_1.mat,1,OR,7.0,Orthogonal,12k_Drive_End_Bearing_Fault_Data,DE,12.0,121846,121846.0,121846.0,1774.0,,OR_NGOAI_PHAM_VI: vị trí 'Orthogonal' khác phạm vi đã chốt ('Centered').,True
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\OR\007\@3\146_2.mat,2,OR,7.0,Orthogonal,12k_Drive_End_Bearing_Fault_Data,DE,12.0,121556,121556.0,121556.0,1751.0,,OR_NGOAI_PHAM_VI: vị trí 'Orthogonal' khác phạm vi đã chốt ('Centered').,True
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\OR\007\@3\147_3.mat,3,OR,7.0,Orthogonal,12k_Drive_End_Bearing_Fault_Data,DE,12.0,122281,122281.0,122281.0,1725.0,,OR_NGOAI_PHAM_VI: vị trí 'Orthogonal' khác phạm vi đã chốt ('Centered').,True
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\OR\007\@6\130@6_0.mat,0,OR,7.0,Centered,12k_Drive_End_Bearing_Fault_Data,DE,12.0,121991,121991.0,121991.0,1796.0,,,False
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\OR\007\@6\131@6_1.mat,1,OR,7.0,Centered,12k_Drive_End_Bearing_Fault_Data,DE,12.0,122426,122426.0,122426.0,1773.0,,,False
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\OR\007\@6\132@6_2.mat,2,OR,7.0,Centered,12k_Drive_End_Bearing_Fault_Data,DE,12.0,121410,121410.0,121410.0,1750.0,,,False
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\OR\007\@6\133@6_3.mat,3,OR,7.0,Centered,12k_Drive_End_Bearing_Fault_Data,DE,12.0,122571,122571.0,122571.0,1725.0,,,False
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\OR\014\197@6_0.mat,0,OR,14.0,Centered,12k_Drive_End_Bearing_Fault_Data,DE,12.0,121846,121846.0,121846.0,1796.0,,,False
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\OR\014\198@6_1.mat,1,OR,14.0,Centered,12k_Drive_End_Bearing_Fault_Data,DE,12.0,122136,122136.0,122136.0,1772.0,,,False
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\OR\014\199@6_2.mat,2,OR,14.0,Centered,12k_Drive_End_Bearing_Fault_Data,DE,12.0,121846,121846.0,121846.0,1749.0,,,False
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\OR\014\200@6_3.mat,3,OR,14.0,Centered,12k_Drive_End_Bearing_Fault_Data,DE,12.0,121991,121991.0,121991.0,1723.0,,,False
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\OR\021\@12\258_0.mat,0,OR,21.0,Opposite,12k_Drive_End_Bearing_Fault_Data,DE,12.0,121846,121846.0,121846.0,1796.0,,OR_NGOAI_PHAM_VI: vị trí 'Opposite' khác phạm vi đã chốt ('Centered').,True
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\OR\021\@12\259_1.mat,1,OR,21.0,Opposite,12k_Drive_End_Bearing_Fault_Data,DE,12.0,122426,122426.0,122426.0,1771.0,,OR_NGOAI_PHAM_VI: vị trí 'Opposite' khác phạm vi đã chốt ('Centered').,True
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\OR\021\@12\260_2.mat,2,OR,21.0,Opposite,12k_Drive_End_Bearing_Fault_Data,DE,12.0,122716,122716.0,122716.0,1746.0,,OR_NGOAI_PHAM_VI: vị trí 'Opposite' khác phạm vi đã chốt ('Centered').,True
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\OR\021\@12\261_3.mat,3,OR,21.0,Opposite,12k_Drive_End_Bearing_Fault_Data,DE,12.0,121701,121701.0,121701.0,1718.0,,OR_NGOAI_PHAM_VI: vị trí 'Opposite' khác phạm vi đã chốt ('Centered').,True
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\OR\021\@3\246_0.mat,0,OR,21.0,Orthogonal,12k_Drive_End_Bearing_Fault_Data,DE,12.0,121701,121701.0,121701.0,1796.0,,OR_NGOAI_PHAM_VI: vị trí 'Orthogonal' khác phạm vi đã chốt ('Centered').,True
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\OR\021\@3\247_1.mat,1,OR,21.0,Orthogonal,12k_Drive_End_Bearing_Fault_Data,DE,12.0,121991,121991.0,121991.0,1771.0,,OR_NGOAI_PHAM_VI: vị trí 'Orthogonal' khác phạm vi đã chốt ('Centered').,True
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\OR\021\@3\248_2.mat,2,OR,21.0,Orthogonal,12k_Drive_End_Bearing_Fault_Data,DE,12.0,122281,122281.0,122281.0,1747.0,,OR_NGOAI_PHAM_VI: vị trí 'Orthogonal' khác phạm vi đã chốt ('Centered').,True
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\OR\021\@3\249_3.mat,3,OR,21.0,Orthogonal,12k_Drive_End_Bearing_Fault_Data,DE,12.0,122136,122136.0,122136.0,1719.0,,OR_NGOAI_PHAM_VI: vị trí 'Orthogonal' khác phạm vi đã chốt ('Centered').,True
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\OR\021\@6\234_0.mat,0,OR,21.0,Centered,12k_Drive_End_Bearing_Fault_Data,DE,12.0,122426,122426.0,122426.0,1796.0,,,False
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\OR\021\@6\235_1.mat,1,OR,21.0,Centered,12k_Drive_End_Bearing_Fault_Data,DE,12.0,121991,121991.0,121991.0,1771.0,,,False
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\OR\021\@6\236_2.mat,2,OR,21.0,Centered,12k_Drive_End_Bearing_Fault_Data,DE,12.0,122281,122281.0,122281.0,1748.0,,,False
..\..\data\raw\12k_Drive_End_Bearing_Fault_Data\OR\021\@6\237_3.mat,3,OR,21.0,Centered,12k_Drive_End_Bearing_Fault_Data,DE,12.0,121991,121991.0,121991.0,1721.0,,,False
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\B\007\282_0.mat,0,B,7.0,,12k_Fan_End_Bearing_Fault_Data,FE,12.0,121168,121168.0,121168.0,1798.0,,"NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'.",True
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\B\007\283_1.mat,1,B,7.0,,12k_Fan_End_Bearing_Fault_Data,FE,12.0,120801,120801.0,120801.0,1777.0,,"NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'.",True
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\B\007\284_2.mat,2,B,7.0,,12k_Fan_End_Bearing_Fault_Data,FE,12.0,121719,121719.0,121719.0,1755.0,,"NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'.",True
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\B\007\285_3.mat,3,B,7.0,,12k_Fan_End_Bearing_Fault_Data,FE,12.0,121168,121168.0,121168.0,1732.0,,"NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'.",True
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\B\014\286_0.mat,0,B,14.0,,12k_Fan_End_Bearing_Fault_Data,FE,12.0,122086,122086.0,122086.0,1796.0,,"NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'.",True
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\B\014\287_1.mat,1,B,14.0,,12k_Fan_End_Bearing_Fault_Data,FE,12.0,121719,121719.0,121719.0,1775.0,,"NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'.",True
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\B\014\288_2.mat,2,B,14.0,,12k_Fan_End_Bearing_Fault_Data,FE,12.0,122269,122269.0,122269.0,1755.0,,"NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'.",True
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\B\014\289_3.mat,3,B,14.0,,12k_Fan_End_Bearing_Fault_Data,FE,12.0,121168,121168.0,121168.0,1732.0,,"NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'.",True
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\B\021\290_0.mat,0,B,21.0,,12k_Fan_End_Bearing_Fault_Data,FE,12.0,121351,121351.0,121351.0,1796.0,,"NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'.",True
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\B\021\291_1.mat,1,B,21.0,,12k_Fan_End_Bearing_Fault_Data,FE,12.0,121351,121351.0,121351.0,1775.0,,"NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'.",True
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\B\021\292_2.mat,2,B,21.0,,12k_Fan_End_Bearing_Fault_Data,FE,12.0,121535,121535.0,121535.0,1756.0,,"NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'.",True
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\B\021\293_3.mat,3,B,21.0,,12k_Fan_End_Bearing_Fault_Data,FE,12.0,120801,120801.0,120801.0,1734.0,,"NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'.",True
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\IR\007\278_0.mat,0,IR,7.0,,12k_Fan_End_Bearing_Fault_Data,FE,12.0,121535,121535.0,121535.0,1796.0,,"NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'.",True
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\IR\007\279_1.mat,1,IR,7.0,,12k_Fan_End_Bearing_Fault_Data,FE,12.0,121351,121351.0,121351.0,1732.0,,"RPM_LECH: RPM file (1732) lệch >20 so với danh định tải 1HP (1772).; NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'.",True
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\IR\007\280_2.mat,2,IR,7.0,,12k_Fan_End_Bearing_Fault_Data,FE,12.0,121351,121351.0,121351.0,1755.0,,"NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'.",True
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\IR\007\281_3.mat,3,IR,7.0,,12k_Fan_End_Bearing_Fault_Data,FE,12.0,121535,121535.0,121535.0,1732.0,,"NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'.",True
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\IR\014\274_0.mat,0,IR,14.0,,12k_Fan_End_Bearing_Fault_Data,FE,12.0,121351,121351.0,121351.0,1796.0,,"NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'.",True
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\IR\014\275_1.mat,1,IR,14.0,,12k_Fan_End_Bearing_Fault_Data,FE,12.0,121351,121351.0,121351.0,1775.0,,"NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'.",True
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\IR\014\276_2.mat,2,IR,14.0,,12k_Fan_End_Bearing_Fault_Data,FE,12.0,121351,121351.0,121351.0,1755.0,,"NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'.",True
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\IR\014\277_3.mat,3,IR,14.0,,12k_Fan_End_Bearing_Fault_Data,FE,12.0,121168,121168.0,121168.0,1733.0,,"NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'.",True
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\IR\021\270_0.mat,0,IR,21.0,,12k_Fan_End_Bearing_Fault_Data,FE,12.0,121168,121168.0,121168.0,1796.0,,"NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'.",True
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\IR\021\271_1.mat,1,IR,21.0,,12k_Fan_End_Bearing_Fault_Data,FE,12.0,121168,121168.0,121168.0,1776.0,,"NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'.",True
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\IR\021\272_2.mat,2,IR,21.0,,12k_Fan_End_Bearing_Fault_Data,FE,12.0,120984,120984.0,120984.0,1758.0,,"NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'.",True
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\IR\021\273_3.mat,3,IR,21.0,,12k_Fan_End_Bearing_Fault_Data,FE,12.0,121168,121168.0,121168.0,1737.0,,"NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'.",True
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\OR\007\@12\302_0.mat,0,OR,7.0,Opposite,12k_Fan_End_Bearing_Fault_Data,FE,12.0,121168,121168.0,121168.0,1797.0,,"OR_NGOAI_PHAM_VI: vị trí 'Opposite' khác phạm vi đã chốt ('Centered').; NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'.",True
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\OR\007\@12\305_1.mat,1,OR,7.0,Opposite,12k_Fan_End_Bearing_Fault_Data,FE,12.0,120984,120984.0,120984.0,1775.0,,"OR_NGOAI_PHAM_VI: vị trí 'Opposite' khác phạm vi đã chốt ('Centered').; NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'.",True
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\OR\007\@12\306_2.mat,2,OR,7.0,Opposite,12k_Fan_End_Bearing_Fault_Data,FE,12.0,121719,121719.0,121719.0,1755.0,,"OR_NGOAI_PHAM_VI: vị trí 'Opposite' khác phạm vi đã chốt ('Centered').; NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'.",True
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\OR\007\@12\307_3.mat,3,OR,7.0,Opposite,12k_Fan_End_Bearing_Fault_Data,FE,12.0,121168,121168.0,121168.0,1733.0,,"OR_NGOAI_PHAM_VI: vị trí 'Opposite' khác phạm vi đã chốt ('Centered').; NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'.",True
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\OR\007\@3\298_0.mat,0,OR,7.0,Orthogonal,12k_Fan_End_Bearing_Fault_Data,FE,12.0,120984,120984.0,120984.0,1797.0,,"OR_NGOAI_PHAM_VI: vị trí 'Orthogonal' khác phạm vi đã chốt ('Centered').; NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'.",True
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\OR\007\@3\299_1.mat,1,OR,7.0,Orthogonal,12k_Fan_End_Bearing_Fault_Data,FE,12.0,121168,121168.0,121168.0,1776.0,,"OR_NGOAI_PHAM_VI: vị trí 'Orthogonal' khác phạm vi đã chốt ('Centered').; NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'.",True
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\OR\007\@3\300_2.mat,2,OR,7.0,Orthogonal,12k_Fan_End_Bearing_Fault_Data,FE,12.0,121902,121902.0,121902.0,1755.0,,"OR_NGOAI_PHAM_VI: vị trí 'Orthogonal' khác phạm vi đã chốt ('Centered').; NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'.",True
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\OR\007\@3\301_3.mat,3,OR,7.0,Orthogonal,12k_Fan_End_Bearing_Fault_Data,FE,12.0,121719,121719.0,121719.0,1733.0,,"OR_NGOAI_PHAM_VI: vị trí 'Orthogonal' khác phạm vi đã chốt ('Centered').; NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'.",True
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\OR\007\@6\294_0.mat,0,OR,7.0,Centered,12k_Fan_End_Bearing_Fault_Data,FE,12.0,121168,121168.0,121168.0,1797.0,,"NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'.",True
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\OR\007\@6\295_1.mat,1,OR,7.0,Centered,12k_Fan_End_Bearing_Fault_Data,FE,12.0,121535,121535.0,121535.0,1776.0,,"NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'.",True
