file_path,label,load_hp,fault_diameter_mils,warnings
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\B\007\284_2.mat,B,2,7.0,"NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'."
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\B\007\285_3.mat,B,3,7.0,"NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'."
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\B\014\286_0.mat,B,0,14.0,"NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'."
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\B\014\287_1.mat,B,1,14.0,"NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'."
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\B\014\288_2.mat,B,2,14.0,"NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'."
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\B\014\289_3.mat,B,3,14.0,"NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'."
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\B\021\290_0.mat,B,0,21.0,"NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'."
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\B\021\291_1.mat,B,1,21.0,"NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'."
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\B\021\292_2.mat,B,2,21.0,"NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'."
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\B\021\293_3.mat,B,3,21.0,"NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'."
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\IR\007\278_0.mat,IR,0,7.0,"NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'."
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\IR\007\279_1.mat,IR,1,7.0,"RPM_LECH: RPM file (1732) lệch >20 so với danh định tải 1HP (1772).; NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'."
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\IR\007\280_2.mat,IR,2,7.0,"NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'."
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\IR\007\281_3.mat,IR,3,7.0,"NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'."
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\IR\014\274_0.mat,IR,0,14.0,"NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'."
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\IR\014\275_1.mat,IR,1,14.0,"NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'."
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\IR\014\276_2.mat,IR,2,14.0,"NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'."
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\IR\014\277_3.mat,IR,3,14.0,"NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'."
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\IR\021\270_0.mat,IR,0,21.0,"NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'."
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\IR\021\271_1.mat,IR,1,21.0,"NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'."
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\IR\021\272_2.mat,IR,2,21.0,"NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'."
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\IR\021\273_3.mat,IR,3,21.0,"NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'."
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\OR\007\@12\302_0.mat,OR,0,7.0,"OR_NGOAI_PHAM_VI: vị trí 'Opposite' khác phạm vi đã chốt ('Centered').; NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'."
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\OR\007\@12\305_1.mat,OR,1,7.0,"OR_NGOAI_PHAM_VI: vị trí 'Opposite' khác phạm vi đã chốt ('Centered').; NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'."
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\OR\007\@12\306_2.mat,OR,2,7.0,"OR_NGOAI_PHAM_VI: vị trí 'Opposite' khác phạm vi đã chốt ('Centered').; NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'."
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\OR\007\@12\307_3.mat,OR,3,7.0,"OR_NGOAI_PHAM_VI: vị trí 'Opposite' khác phạm vi đã chốt ('Centered').; NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'."
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\OR\007\@3\298_0.mat,OR,0,7.0,"OR_NGOAI_PHAM_VI: vị trí 'Orthogonal' khác phạm vi đã chốt ('Centered').; NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'."
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\OR\007\@3\299_1.mat,OR,1,7.0,"OR_NGOAI_PHAM_VI: vị trí 'Orthogonal' khác phạm vi đã chốt ('Centered').; NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'."
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\OR\007\@3\300_2.mat,OR,2,7.0,"OR_NGOAI_PHAM_VI: vị trí 'Orthogonal' khác phạm vi đã chốt ('Centered').; NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'."
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\OR\007\@3\301_3.mat,OR,3,7.0,"OR_NGOAI_PHAM_VI: vị trí 'Orthogonal' khác phạm vi đã chốt ('Centered').; NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'."
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\OR\007\@6\294_0.mat,OR,0,7.0,"NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'."
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\OR\007\@6\295_1.mat,OR,1,7.0,"NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'."
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\OR\007\@6\296_2.mat,OR,2,7.0,"NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'."
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\OR\007\@6\297_3.mat,OR,3,7.0,"NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'."
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\OR\014\@3\309_1.mat,OR,1,14.0,"OR_NGOAI_PHAM_VI: vị trí 'Orthogonal' khác phạm vi đã chốt ('Centered').; NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'."
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\OR\014\@3\310_0.mat,OR,0,14.0,"OR_NGOAI_PHAM_VI: vị trí 'Orthogonal' khác phạm vi đã chốt ('Centered').; NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'."
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\OR\014\@3\311_2.mat,OR,2,14.0,"OR_NGOAI_PHAM_VI: vị trí 'Orthogonal' khác phạm vi đã chốt ('Centered').; NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'."
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\OR\014\@3\312_3.mat,OR,3,14.0,"OR_NGOAI_PHAM_VI: vị trí 'Orthogonal' khác phạm vi đã chốt ('Centered').; NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'."
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\OR\014\@6\313_0.mat,OR,0,14.0,"NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'."
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\OR\021\@3\316_1.mat,OR,1,21.0,"OR_NGOAI_PHAM_VI: vị trí 'Orthogonal' khác phạm vi đã chốt ('Centered').; NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'."
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\OR\021\@3\317_2.mat,OR,2,21.0,"OR_NGOAI_PHAM_VI: vị trí 'Orthogonal' khác phạm vi đã chốt ('Centered').; NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'."
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\OR\021\@3\318_3.mat,OR,3,21.0,"OR_NGOAI_PHAM_VI: vị trí 'Orthogonal' khác phạm vi đã chốt ('Centered').; NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'."
..\..\data\raw\12k_Fan_End_Bearing_Fault_Data\OR\021\@6\315_0.mat,OR,0,21.0,"NGOAI_PHAM_VI_CAM_BIEN: file thuộc vị trí cảm biến 'FE', phạm vi đã chốt chỉ dùng 'DE'."
..\..\data\raw\48k_Drive_End_Bearing_Fault_Data\B\007\122_0.mat,B,0,7.0,"NGHI_NGO_SAMPLING_RATE: n_samples=244739 (12kHz->20.4s, 24kHz->10.2s, 48kHz->5.1s). Rate hợp lý nhất: 24kHz — KHÁC rate mà file tự nhận (48kHz, qua thư mục nguồn/phạm vi mục tiêu).; NGOAI_PHAM_VI_TAN_SO_KHAI_BAO: file thuộc nhóm khai báo 48.0kHz, phạm vi đã chốt chỉ dùng 12kHz."
..\..\data\raw\48k_Drive_End_Bearing_Fault_Data\B\007\123_1.mat,B,1,7.0,"NGOAI_PHAM_VI_TAN_SO_KHAI_BAO: file thuộc nhóm khai báo 48.0kHz, phạm vi đã chốt chỉ dùng 12kHz."
..\..\data\raw\48k_Drive_End_Bearing_Fault_Data\B\007\124_2.mat,B,2,7.0,"NGOAI_PHAM_VI_TAN_SO_KHAI_BAO: file thuộc nhóm khai báo 48.0kHz, phạm vi đã chốt chỉ dùng 12kHz."
..\..\data\raw\48k_Drive_End_Bearing_Fault_Data\B\007\125_3.mat,B,3,7.0,"NGOAI_PHAM_VI_TAN_SO_KHAI_BAO: file thuộc nhóm khai báo 48.0kHz, phạm vi đã chốt chỉ dùng 12kHz."
..\..\data\raw\48k_Drive_End_Bearing_Fault_Data\B\014\189_0.mat,B,0,14.0,"NGHI_NGO_SAMPLING_RATE: n_samples=249146 (12kHz->20.8s, 24kHz->10.4s, 48kHz->5.2s). Rate hợp lý nhất: 24kHz — KHÁC rate mà file tự nhận (48kHz, qua thư mục nguồn/phạm vi mục tiêu).; NGOAI_PHAM_VI_TAN_SO_KHAI_BAO: file thuộc nhóm khai báo 48.0kHz, phạm vi đã chốt chỉ dùng 12kHz."
..\..\data\raw\48k_Drive_End_Bearing_Fault_Data\B\014\190_1.mat,B,1,14.0,"NGOAI_PHAM_VI_TAN_SO_KHAI_BAO: file thuộc nhóm khai báo 48.0kHz, phạm vi đã chốt chỉ dùng 12kHz."
..\..\data\raw\48k_Drive_End_Bearing_Fault_Data\B\014\191_2.mat,B,2,14.0,"NGOAI_PHAM_VI_TAN_SO_KHAI_BAO: file thuộc nhóm khai báo 48.0kHz, phạm vi đã chốt chỉ dùng 12kHz."
..\..\data\raw\48k_Drive_End_Bearing_Fault_Data\B\014\192_3.mat,B,3,14.0,"NGOAI_PHAM_VI_TAN_SO_KHAI_BAO: file thuộc nhóm khai báo 48.0kHz, phạm vi đã chốt chỉ dùng 12kHz."
..\..\data\raw\48k_Drive_End_Bearing_Fault_Data\B\021\226_0.mat,B,0,21.0,"NGHI_NGO_SAMPLING_RATE: n_samples=243938 (12kHz->20.3s, 24kHz->10.2s, 48kHz->5.1s). Rate hợp lý nhất: 24kHz — KHÁC rate mà file tự nhận (48kHz, qua thư mục nguồn/phạm vi mục tiêu).; NGOAI_PHAM_VI_TAN_SO_KHAI_BAO: file thuộc nhóm khai báo 48.0kHz, phạm vi đã chốt chỉ dùng 12kHz."
..\..\data\raw\48k_Drive_End_Bearing_Fault_Data\B\021\227_1.mat,B,1,21.0,"NGOAI_PHAM_VI_TAN_SO_KHAI_BAO: file thuộc nhóm khai báo 48.0kHz, phạm vi đã chốt chỉ dùng 12kHz."
..\..\data\raw\48k_Drive_End_Bearing_Fault_Data\B\021\228_2.mat,B,2,21.0,"NGOAI_PHAM_VI_TAN_SO_KHAI_BAO: file thuộc nhóm khai báo 48.0kHz, phạm vi đã chốt chỉ dùng 12kHz."
..\..\data\raw\48k_Drive_End_Bearing_Fault_Data\B\021\229_3.mat,B,3,21.0,"NGOAI_PHAM_VI_TAN_SO_KHAI_BAO: file thuộc nhóm khai báo 48.0kHz, phạm vi đã chốt chỉ dùng 12kHz."
..\..\data\raw\48k_Drive_End_Bearing_Fault_Data\IR\007\109_0.mat,IR,0,7.0,"NGHI_NGO_SAMPLING_RATE: n_samples=243938 (12kHz->20.3s, 24kHz->10.2s, 48kHz->5.1s). Rate hợp lý nhất: 24kHz — KHÁC rate mà file tự nhận (48kHz, qua thư mục nguồn/phạm vi mục tiêu).; NGOAI_PHAM_VI_TAN_SO_KHAI_BAO: file thuộc nhóm khai báo 48.0kHz, phạm vi đã chốt chỉ dùng 12kHz."
..\..\data\raw\48k_Drive_End_Bearing_Fault_Data\IR\007\110_1.mat,IR,1,7.0,"NGOAI_PHAM_VI_TAN_SO_KHAI_BAO: file thuộc nhóm khai báo 48.0kHz, phạm vi đã chốt chỉ dùng 12kHz."
..\..\data\raw\48k_Drive_End_Bearing_Fault_Data\IR\007\111_2.mat,IR,2,7.0,"NGOAI_PHAM_VI_TAN_SO_KHAI_BAO: file thuộc nhóm khai báo 48.0kHz, phạm vi đã chốt chỉ dùng 12kHz."
..\..\data\raw\48k_Drive_End_Bearing_Fault_Data\IR\007\112_3.mat,IR,3,7.0,"NGOAI_PHAM_VI_TAN_SO_KHAI_BAO: file thuộc nhóm khai báo 48.0kHz, phạm vi đã chốt chỉ dùng 12kHz."
..\..\data\raw\48k_Drive_End_Bearing_Fault_Data\IR\014\174_0.mat,IR,0,14.0,"THOI_LUONG_BAT_THUONG: n_samples=63788 không khớp ~10s ở bất kỳ rate phổ biến nào đã kiểm tra (12kHz->5.3s, 24kHz->2.7s, 48kHz->1.3s) — kiểm tra file này thủ công (có thể bị cắt ngắn/hỏng, hoặc dùng sampling rate không nằm trong danh sách đã test).; NGOAI_PHAM_VI_TAN_SO_KHAI_BAO: file thuộc nhóm khai báo 48.0kHz, phạm vi đã chốt chỉ dùng 12kHz."
..\..\data\raw\48k_Drive_End_Bearing_Fault_Data\IR\014\175_1.mat,IR,1,14.0,"NGOAI_PHAM_VI_TAN_SO_KHAI_BAO: file thuộc nhóm khai báo 48.0kHz, phạm vi đã chốt chỉ dùng 12kHz."
..\..\data\raw\48k_Drive_End_Bearing_Fault_Data\IR\014\176_2.mat,IR,2,14.0,"NGOAI_PHAM_VI_TAN_SO_KHAI_BAO: file thuộc nhóm khai báo 48.0kHz, phạm vi đã chốt chỉ dùng 12kHz."
..\..\data\raw\48k_Drive_End_Bearing_Fault_Data\IR\014\177_3.mat,IR,3,14.0,"NGOAI_PHAM_VI_TAN_SO_KHAI_BAO: file thuộc nhóm khai báo 48.0kHz, phạm vi đã chốt chỉ dùng 12kHz."
..\..\data\raw\48k_Drive_End_Bearing_Fault_Data\IR\021\213_0.mat,IR,0,21.0,"NGHI_NGO_SAMPLING_RATE: n_samples=244339 (12kHz->20.4s, 24kHz->10.2s, 48kHz->5.1s). Rate hợp lý nhất: 24kHz — KHÁC rate mà file tự nhận (48kHz, qua thư mục nguồn/phạm vi mục tiêu).; NGOAI_PHAM_VI_TAN_SO_KHAI_BAO: file thuộc nhóm khai báo 48.0kHz, phạm vi đã chốt chỉ dùng 12kHz."
..\..\data\raw\48k_Drive_End_Bearing_Fault_Data\IR\021\214_1.mat,IR,1,21.0,"NGOAI_PHAM_VI_TAN_SO_KHAI_BAO: file thuộc nhóm khai báo 48.0kHz, phạm vi đã chốt chỉ dùng 12kHz."
..\..\data\raw\48k_Drive_End_Bearing_Fault_Data\IR\021\215_2.mat,IR,2,21.0,"NGOAI_PHAM_VI_TAN_SO_KHAI_BAO: file thuộc nhóm khai báo 48.0kHz, phạm vi đã chốt chỉ dùng 12kHz."
..\..\data\raw\48k_Drive_End_Bearing_Fault_Data\IR\021\217_3.mat,IR,3,21.0,"NGOAI_PHAM_VI_TAN_SO_KHAI_BAO: file thuộc nhóm khai báo 48.0kHz, phạm vi đã chốt chỉ dùng 12kHz."
..\..\data\raw\48k_Drive_End_Bearing_Fault_Data\OR\007\@12\161_0.mat,OR,0,7.0,"NGHI_NGO_SAMPLING_RATE: n_samples=129969 (12kHz->10.8s, 24kHz->5.4s, 48kHz->2.7s). Rate hợp lý nhất: 12kHz — KHÁC rate mà file tự nhận (48kHz, qua thư mục nguồn/phạm vi mục tiêu).; OR_NGOAI_PHAM_VI: vị trí 'Opposite' khác phạm vi đã chốt ('Centered').; NGOAI_PHAM_VI_TAN_SO_KHAI_BAO: file thuộc nhóm khai báo 48.0kHz, phạm vi đã chốt chỉ dùng 12kHz."
..\..\data\raw\48k_Drive_End_Bearing_Fault_Data\OR\007\@12\162_1.mat,OR,1,7.0,"OR_NGOAI_PHAM_VI: vị trí 'Opposite' khác phạm vi đã chốt ('Centered').; NGOAI_PHAM_VI_TAN_SO_KHAI_BAO: file thuộc nhóm khai báo 48.0kHz, phạm vi đã chốt chỉ dùng 12kHz."
..\..\data\raw\48k_Drive_End_Bearing_Fault_Data\OR\007\@12\163_2.mat,OR,2,7.0,"OR_NGOAI_PHAM_VI: vị trí 'Opposite' khác phạm vi đã chốt ('Centered').; NGOAI_PHAM_VI_TAN_SO_KHAI_BAO: file thuộc nhóm khai báo 48.0kHz, phạm vi đã chốt chỉ dùng 12kHz."
..\..\data\raw\48k_Drive_End_Bearing_Fault_Data\OR\007\@12\164_3.mat,OR,3,7.0,"OR_NGOAI_PHAM_VI: vị trí 'Opposite' khác phạm vi đã chốt ('Centered').; NGOAI_PHAM_VI_TAN_SO_KHAI_BAO: file thuộc nhóm khai báo 48.0kHz, phạm vi đã chốt chỉ dùng 12kHz."
..\..\data\raw\48k_Drive_End_Bearing_Fault_Data\OR\007\@3\148_0.mat,OR,0,7.0,"NGHI_NGO_SAMPLING_RATE: n_samples=124602 (12kHz->10.4s, 24kHz->5.2s, 48kHz->2.6s). Rate hợp lý nhất: 12kHz — KHÁC rate mà file tự nhận (48kHz, qua thư mục nguồn/phạm vi mục tiêu).; OR_NGOAI_PHAM_VI: vị trí 'Orthogonal' khác phạm vi đã chốt ('Centered').; NGOAI_PHAM_VI_TAN_SO_KHAI_BAO: file thuộc nhóm khai báo 48.0kHz, phạm vi đã chốt chỉ dùng 12kHz."
..\..\data\raw\48k_Drive_End_Bearing_Fault_Data\OR\007\@3\149_1.mat,OR,1,7.0,"OR_NGOAI_PHAM_VI: vị trí 'Orthogonal' khác phạm vi đã chốt ('Centered').; NGOAI_PHAM_VI_TAN_SO_KHAI_BAO: file thuộc nhóm khai báo 48.0kHz, phạm vi đã chốt chỉ dùng 12kHz."
